"名称","星级","效果"
"拨码",1,"令一颗骰子的点数 -1，最终点数限制在 1..6。"
"推码",1,"令一颗骰子的点数 +1，最终点数限制在 1..6。"
"深降",2,"令一颗骰子的点数 -2，最终点数限制在 1..6。"
"跃升",2,"令一颗骰子的点数 +2，最终点数限制在 1..6。"
"映射",1,"令一张规则台的系数 +1。"
"增幅映射",1,"令一张规则台的系数 +2。"
"复写",1,"令一张规则台额外结算 1 次。"
"双重复写",1,"令一张规则台额外结算 2 次。"
"稳态复写",1,"令一张规则台的系数 -1（最低为 1），并额外结算 1 次。"
"增幅复写",1,"令一张规则台的系数 +1，并额外结算 1 次。"
"倒序",2,"反转本轮规则台的解析顺序。"
"桥接",2,"左台先通过并结算，右台也通过时，复制左台本轮结算分。"
"精密映射",2,"令一张规则台的系数 +3。"
"三重复写",3,"令一张规则台额外结算 3 次。"
"长距推码",3,"令一颗骰子的点数 +3，最终点数限制在 1..6。"
"深降推码",3,"令一颗骰子的点数 -3，最终点数限制在 1..6。"
"增幅连写",2,"令一张规则台的系数 +2，并额外结算 1 次。"
"回转备份",3,"反转本轮规则台的解析顺序。"
"点数索引",2,"下轮优先抽取一张骰值控制牌；无匹配牌时照常抽牌。"
"连锁索引",2,"下轮优先抽取一张规则台连锁牌；无匹配牌时照常抽牌。"
"折光映射",3,"令箭头所指规则台的系数 +2。镜像：反照后目标的系数 +1。"
"轻声复写",2,"令箭头所指规则台额外结算 2 次。镜像：反照后目标额外结算 1 次。"
"合页桥",2,"连接两端，并令箭头所指规则台的系数 +1。镜像：只连接反照后的两端。"
"双重曝光",3,"令箭头所指规则台的系数 +2，并额外结算 1 次。镜像：反照后目标的系数 +1。"
"深层回声",3,"令箭头所指规则台的系数 +1，并额外结算 2 次。镜像：反照后目标额外结算 1 次。"
"银面长桥",3,"连接两端，并令箭头所指规则台额外结算 1 次。镜像：只连接反照后的两端。"
"换值联动",2,"选择两颗当前有效点数不同的骰子并交换点数；按最终摆位，使它们所在的每张不同规则台系数 +1（未入台不加成）。"
"复刻",2,"令第二颗骰子复制第一颗骰子的当前有效点数。"
"翻面",3,"令一颗骰子的当前有效点数变为 7 减去该点数。"
"定格",3,"锁定一颗骰子的点数；其所在规则台每次成功结算时固定奖励 +4。"
"校准回收",2,"返还 1 点本轮已经使用的校准点，最多恢复到 2 点。"
"精确宽限",2,"指定精确点数台与目标值相差不超过 1 时也可通过。"
"奇偶宽限",3,"指定全偶台允许其中 1 颗骰子为奇数。"
"序列宽限",3,"指定连续数台允许出现 1 个差为 2 的缺口。"
"核验凭证",2,"指定规则台通过后获得 1 情报。"
"满骰记录",2,"本轮分配全部 6 颗骰子后获得 2 情报。"
"三席记录",3,"三张规则台均至少分配 1 颗骰子后获得 2 情报。"
"完整卷宗",3,"本轮三张规则台全部通过后获得 3 情报。"
"加严映射",2,"指定规则台所需骰位 +1，同时系数 +2；总所需骰位不能超过 6。"
"逆序重演",2,"反转本轮结算方向，并令箭头所指规则台额外结算 1 次。"
"压缩复写",3,"指定规则台系数 -1（最低为 1），并额外结算 2 次。"
"闭环传递",3,"连接桌间两端，并令箭头所指规则台额外结算 1 次。"
"故障骰子",3,"目标骰在本次远征中最终值固定为 1；其所在规则台系数 +3。故障骰不能再被重投、交换或改值。"
"孤注一掷",3,"消耗全部剩余校准并封锁本轮校准；三台全过时，仅复制本轮由卡牌效果产生的情报。"
"保险废稿",2,"弃置 1 张其他未使用手牌；本轮校准撤销与卡牌撤销各增加 1 次。"
"焚稿复写",3,"弃置 2 张其他未使用手牌；目标台通过时按原系数 -1（最低 1）复写一次，不增加桥接或风暴次数。"
